"CAIPWL_opt","CAIPWL_skip","CAIPWL_greedy","IPWL_opt","IPWL_skip","IPWL_greedy","CAIPWL_direct","DM_direct","DM_causal","random"
-0.149433333333333,-0.144633333333333,0.1649,-0.1354,-0.150033333333333,0.0816,0.109266666666667,0.127366666666667,0.1048,0.1864
0.213833333333333,0.2152,0.109666666666667,0.200566666666667,0.3271,0.148366666666667,0.281433333333333,0.277766666666667,0.584966666666667,0.1727
0.148633333333333,0.146833333333333,0.151233333333333,-0.1112,-0.116166666666667,0.116233333333333,-0.134233333333333,-0.1459,0.132033333333333,0.157566666666667
0.126233333333333,0.115833333333333,0.125966666666667,0.0861,0.087,0.148066666666667,0.1738,0.0128,-0.0344333333333333,0.167433333333333
0.0155666666666667,0.0154333333333333,0.1093,-0.361866666666667,0.2784,0.148233333333333,-0.0722333333333333,-0.0178,0.088,0.176533333333333
0.4075,0.4044,0.0773,0.257433333333333,0.377266666666667,0.195133333333333,0.228133333333333,0.674766666666667,0.141766666666667,0.165266666666667
0.142466666666667,0.157833333333333,0.175233333333333,0.125533333333333,0.1242,0.1924,0.1447,0.1447,0.0569333333333333,0.1733
0.177066666666667,0.112866666666667,0.1749,0.0105666666666667,0.0135666666666667,0.1474,0.269366666666667,0.262333333333333,0.2372,0.1676
0.135633333333333,0.147833333333333,0.114233333333333,-0.00503333333333333,0.0729,0.106266666666667,0.101466666666667,0.188,0.1829,0.1592
0.1005,0.0990666666666667,0.1849,-0.0281333333333333,-0.0236666666666667,0.1243,0.3079,0.318933333333333,0.479333333333333,0.159266666666667
0.168766666666667,0.165166666666667,0.144466666666667,-0.109133333333333,-0.106733333333333,0.14,0.2618,0.244366666666667,0.159266666666667,0.177733333333333
0.128066666666667,0.1452,0.1304,-0.0534333333333333,-0.0486,0.113033333333333,0.219166666666667,0.209766666666667,0.1961,0.174233333333333
0.049,0.0479333333333333,0.156733333333333,0.238933333333333,-0.000366666666666667,0.129766666666667,0.2004,0.199166666666667,0.0897333333333333,0.167866666666667
0.188933333333333,0.188133333333333,0.0973666666666667,0.2289,0.230966666666667,0.161366666666667,0.258833333333333,0.265833333333333,0.3393,0.1675
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
