"CAIPWL_opt","CAIPWL_skip","CAIPWL_greedy","IPWL_opt","IPWL_skip","IPWL_greedy","CAIPWL_direct","DM_direct","DM_causal","random"
0.213333333333333,0.212,0.194,0.213666666666667,0.192666666666667,0.11,0.128666666666667,0.124666666666667,0.0396666666666667,0.169
0.187,0.0236666666666667,0.156333333333333,0.153333333333333,0.208666666666667,0.156,0.313,0.283666666666667,0.196666666666667,0.0856666666666667
0.044,0.0706666666666667,0.222666666666667,0.192666666666667,0.123666666666667,0.153333333333333,0.121,0.121,0.0936666666666667,0.122333333333333
0.19,0.146666666666667,0.177333333333333,0.0843333333333333,0.146,0.175,0.141,0.123666666666667,0.102,0.186333333333333
-0.0253333333333333,0.167,0.177666666666667,0.125,0.237666666666667,0.222,0.17,0.17,0.196666666666667,0.164666666666667
0.254666666666667,0.382666666666667,0.0973333333333333,0.342333333333333,0.194,0.158,0.247333333333333,0.204666666666667,0.196666666666667,0.208666666666667
0.293,0.152,0.148666666666667,0.152666666666667,0.216,0.196333333333333,0.111333333333333,0.144666666666667,0.0396666666666667,0.142666666666667
0.121666666666667,0.178666666666667,0.187333333333333,0.142,0.184666666666667,0.136333333333333,0.235666666666667,0.213,0.196666666666667,0.186666666666667
0.185333333333333,0.213666666666667,0.149666666666667,-0.00566666666666667,0.0466666666666667,0.139666666666667,0.212666666666667,0.202,0.0713333333333333,0.147333333333333
0.0406666666666667,0.203,0.215,0.172,0.122666666666667,0.212,0.0826666666666667,0.0843333333333333,0.0396666666666667,0.129333333333333
0.0706666666666667,0.180333333333333,0.144,0.139333333333333,0.149,0.167666666666667,0.326666666666667,0.135,0.196666666666667,0.152
0.112333333333333,0.112666666666667,0.190666666666667,0.082,0.267666666666667,0.212666666666667,0.103333333333333,-0.0626666666666667,0.0396666666666667,0.173666666666667
0.286333333333333,0.382,0.164333333333333,0.326666666666667,0.284333333333333,0.186333333333333,0.178,0.303333333333333,0.0396666666666667,0.126666666666667
0.120333333333333,0.137333333333333,0.170666666666667,0.137,0.137333333333333,0.127,0.119,0.104666666666667,0.0396666666666667,0.128666666666667
